Label Filename,Bus Present,Location Label,Rear Light Label,Weather Condition
ArtHall_000000.txt,False,4,0,Normal
ArtHall_000015.txt,False,4,0,Normal
ArtHall_000030.txt,False,4,0,Normal
ArtHall_000045.txt,False,4,0,Normal
ArtHall_000060.txt,False,4,0,Normal
ArtHall_000075.txt,False,4,0,Normal
ArtHall_000105.txt,False,4,0,Normal
ArtHall_000135.txt,False,4,0,Normal
ArtHall_000150.txt,False,4,0,Normal
ArtHall_000180.txt,False,43,0,Normal
ArtHall_000195.txt,False,43,0,Normal
ArtHall_000210.txt,False,43,0,Normal
ArtHall_000225.txt,False,42,0,Normal
ArtHall_000240.txt,False,2,0,Normal
ArtHall_000255.txt,False,2,0,Normal
ArtHall_000325.txt,False,3,0,Normal
ArtHall_000340.txt,True,32,0,Normal
ArtHall_000370.txt,True,32,0,Normal
ArtHall_000395.txt,True,32,0,Normal
ArtHall_000435.txt,True,321,0,Normal
ArtHall_000460.txt,True,32,0,Normal
ArtHall_000485.txt,True,32,0,Normal
ArtHall_000510.txt,True,32,0,Normal
ArtHall_000535.txt,False,2,0,Normal
ArtHall_000560.txt,False,2,0,Normal
ArtHall_000610.txt,False,2,0,Normal
ArtHall_000695.txt,True,21,10,Normal
ArtHall_000725.txt,True,3210,10,Normal
ArtHall_000755.txt,True,210,0,Normal
ArtHall_000815.txt,True,321,0,Normal
ArtHall_000845.txt,True,21,10,Normal
ArtHall_000890.txt,True,21,0,Normal
ArtHall_000970.txt,True,21,20,Normal
ArtHall_001145.txt,False,2,0,Normal
ArtHall_001190.txt,False,21,0,Normal
ArtHall_001215.txt,False,21,0,Normal
ArtHall_001235.txt,True,21,0,Normal
ArtHall_001260.txt,True,21,0,Normal
ArtHall_001285.txt,True,21,0,Normal
ArtHall_001310.txt,False,21,0,Normal
ArtHall_001335.txt,True,21,40,Normal
ArtHall_001340.txt,True,21,40,Normal
ArtHall_001345.txt,True,21,40,Normal
ArtHall_001355.txt,True,21,40,Normal
ArtHall_001360.txt,True,21,0,Normal
ArtHall_001370.txt,True,21,0,Normal
ArtHall_001380.txt,False,21,0,Normal
ArtHall_001385.txt,False,21,0,Normal
ArtHall_001390.txt,False,1,40,Normal
ArtHall_001415.txt,False,21,40,Normal
ArtHall_001430.txt,False,21,40,Normal
ArtHall_001455.txt,False,21,0,Normal
ArtHall_001475.txt,False,21,40,Normal
ArtHall_001480.txt,False,21,40,Normal
ArtHall_001485.txt,False,21,40,Normal
ArtHall_001490.txt,False,321,40,Normal
ArtHall_001495.txt,False,321,40,Normal
ArtHall_001510.txt,False,31,40,Normal
ArtHall_001530.txt,False,21,0,Normal
ArtHall_001550.txt,False,21,0,Normal
ArtHall_001570.txt,False,310,0,Normal
ArtHall_001575.txt,False,310,0,Normal
ArtHall_001580.txt,False,310,0,Normal
ArtHall_001585.txt,False,310,0,Normal
ArtHall_001590.txt,False,10,40,Normal
ArtHall_001595.txt,False,10,40,Normal
ArtHall_001600.txt,False,10,40,Normal
ArtHall_001615.txt,False,10,40,Normal
ArtHall_001630.txt,False,10,40,Normal
ArtHall_001645.txt,False,10,40,Normal
ArtHall_001660.txt,False,1,0,Normal
ArtHall_001675.txt,False,1,0,Normal
ArtHall_001690.txt,False,1,0,Normal
ArtHall_001705.txt,False,1,0,Normal
ArtHall_001730.txt,False,1,0,Normal
ArtHall_001735.txt,False,1,0,Normal
ArtHall_001750.txt,False,21,0,Normal
ArtHall_001765.txt,False,21,0,Normal
ArtHall_001780.txt,False,1,0,Normal
ArtHall_001810.txt,False,210,20,Normal
ArtHall_001825.txt,False,210,0,Normal
ArtHall_001840.txt,False,210,0,Normal
ArtHall_001900.txt,False,210,0,Normal
ArtHall_001920.txt,False,210,0,Normal
